"Periodo","cvegeo","Área_geográfica","Mujeres_ocupadas_como_funcionarias_y_directivas",
"2024",	00,"Estados Unidos Mexicanos","418,725",
"2024",	01,"Aguascalientes","5,118",
"2024",	-,"Aguascalientes","4,098",
"2024",	02,"Baja California","15,611",
"2024",	-,"Ensenada","ND",
"2024",	-,"Mexicali","4,270",
"2024",	-,"Tijuana","8,018",
"2024",	03,"Baja California Sur","5,642",
"2024",	-,"La Paz","2,324",
"2024",	04,"Campeche","3,630",
"2024",	-,"Campeche","1,530",
"2024",	-,"Ciudad del Carmen","1,138",
"2024",	05,"Coahuila de Zaragoza","10,897",
"2024",	-,"Saltillo","3,025",
"2024",	-,"Torreón","5,058",
"2024",	06,"Colima","5,734",
"2024",	-,"Colima","2,652",
"2024",	07,"Chiapas","7,690",
"2024",	-,"Tapachula","919",
"2024",	-,"Tuxtla Gutiérrez","2,695",
"2024",	08,"Chihuahua","12,746",
"2024",	-,"Chihuahua","5,183",
"2024",	-,"Juárez","3,656",
"2024",	09,"Ciudad de México","79,302",
"2024",	-,"Valle de México","118,102",
"2024",	10,"Durango","5,196",
"2024",	-,"Durango","3,003",
"2024",	11,"Guanajuato","12,127",
"2024",	-,"Celaya","ND",
"2024",	-,"Irapuato","ND",
"2024",	-,"León","6,220",
"2024",	12,"Guerrero","4,255",
"2024",	-,"Acapulco","1,569",
"2024",	-,"Chilpancingo","ND",
"2024",	13,"Hidalgo","10,473",
"2024",	-,"Pachuca","2,011",
"2024",	14,"Jalisco","25,062",
"2024",	-,"Guadalajara","19,326",
"2024",	15,"México","47,757",
"2024",	-,"Toluca","3,557",
"2024",	16,"Michoacán de Ocampo","8,025",
"2024",	-,"Morelia","2,966",
"2024",	-,"Uruapan","ND",
"2024",	17,"Morelos","3,051",
"2024",	-,"Cuernavaca","1,772",
"2024",	18,"Nayarit","3,606",
"2024",	-,"Tepic","1,792",
"2024",	19,"Nuevo León","31,566",
"2024",	-,"Monterrey","27,723",
"2024",	20,"Oaxaca","6,491",
"2024",	-,"Oaxaca","2,271",
"2024",	21,"Puebla","16,684",
"2024",	-,"Puebla","11,966",
"2024",	-,"Tehuacán","ND",
"2024",	22,"Querétaro","11,742",
"2024",	-,"Querétaro","8,146",
"2024",	23,"Quintana Roo","10,394",
"2024",	-,"Cancún","5,541",
"2024",	24,"San Luis Potosí","10,398",
"2024",	-,"San Luis Potosí","8,107",
"2024",	25,"Sinaloa","10,704",
"2024",	-,"Culiacán","3,401",
"2024",	-,"Mazatlán","ND",
"2024",	26,"Sonora","11,334",
"2024",	-,"Ciudad Obregón","ND",
"2024",	-,"Hermosillo","5,398",
"2024",	27,"Tabasco","7,512",
"2024",	-,"Villahermosa","2,055",
"2024",	28,"Tamaulipas","9,521",
"2024",	-,"Heroica Matamoros","ND",
"2024",	-,"Nuevo Laredo","ND",
"2024",	-,"Reynosa","1,125",
"2024",	-,"Tampico","2,994",
"2024",	29,"Tlaxcala","2,006",
"2024",	-,"Tlaxcala","1,708",
"2024",	30,"Veracruz de Ignacio de la Llave","11,775",
"2024",	-,"Coatzacoalcos","533",
"2024",	-,"Xalapa-Enríquez","ND",
"2024",	-,"Veracruz","2,582",
"2024",	31,"Yucatán","9,486",
"2024",	-,"Mérida","6,965",
"2024",	32,"Zacatecas","3,193",
"2024",	-,"Zacatecas","1,646",
"2023",	00,"Estados Unidos Mexicanos","406,706",
"2023",	01,"Aguascalientes","4,648",
"2023",	-,"Aguascalientes","3,473",
"2023",	02,"Baja California","16,888",
"2023",	-,"Ensenada","ND",
"2023",	-,"Mexicali","4,556",
"2023",	-,"Tijuana","8,410",
"2023",	03,"Baja California Sur","6,266",
"2023",	-,"La Paz","2,281",
"2023",	04,"Campeche","2,937",
"2023",	-,"Campeche","1,144",
"2023",	-,"Ciudad del Carmen","967",
"2023",	05,"Coahuila de Zaragoza","10,147",
"2023",	-,"Saltillo","3,832",
"2023",	-,"Torreón","3,757",
"2023",	06,"Colima","3,874",
"2023",	-,"Colima","1,382",
"2023",	07,"Chiapas","6,226",
"2023",	-,"Tapachula","1,017",
"2023",	-,"Tuxtla Gutiérrez","2,771",
"2023",	08,"Chihuahua","13,715",
"2023",	-,"Chihuahua","5,972",
"2023",	-,"Juárez","5,429",
"2023",	09,"Ciudad de México","63,514",
"2023",	-,"Valle de México","99,203",
"2023",	10,"Durango","4,755",
"2023",	-,"Durango","3,202",
"2023",	11,"Guanajuato","11,517",
"2023",	-,"Celaya","ND",
"2023",	-,"Irapuato","ND",
"2023",	-,"León","5,901",
"2023",	12,"Guerrero","5,461",
"2023",	-,"Acapulco","2,010",
"2023",	-,"Chilpancingo","ND",
"2023",	13,"Hidalgo","10,018",
"2023",	-,"Pachuca","3,270",
"2023",	14,"Jalisco","34,570",
"2023",	-,"Guadalajara","22,386",
"2023",	15,"México","43,612",
"2023",	-,"Toluca","3,904",
"2023",	16,"Michoacán de Ocampo","10,269",
"2023",	-,"Morelia","2,830",
"2023",	-,"Uruapan","ND",
"2023",	17,"Morelos","5,863",
"2023",	-,"Cuernavaca","2,630",
"2023",	18,"Nayarit","2,956",
"2023",	-,"Tepic","1,302",
"2023",	19,"Nuevo León","29,466",
"2023",	-,"Monterrey","26,433",
"2023",	20,"Oaxaca","6,197",
"2023",	-,"Oaxaca","1,605",
"2023",	21,"Puebla","16,787",
"2023",	-,"Puebla","9,687",
"2023",	-,"Tehuacán","ND",
"2023",	22,"Querétaro","10,248",
"2023",	-,"Querétaro","6,734",
"2023",	23,"Quintana Roo","7,878",
"2023",	-,"Cancún","4,051",
"2023",	24,"San Luis Potosí","8,078",
"2023",	-,"San Luis Potosí","7,013",
"2023",	25,"Sinaloa","10,927",
"2023",	-,"Culiacán","3,686",
"2023",	-,"Mazatlán","ND",
"2023",	26,"Sonora","14,585",
"2023",	-,"Ciudad Obregón","ND",
"2023",	-,"Hermosillo","6,076",
"2023",	27,"Tabasco","7,028",
"2023",	-,"Villahermosa","2,414",
"2023",	28,"Tamaulipas","10,093",
"2023",	-,"Heroica Matamoros","ND",
"2023",	-,"Nuevo Laredo","ND",
"2023",	-,"Reynosa","1,211",
"2023",	-,"Tampico","2,784",
"2023",	29,"Tlaxcala","2,109",
"2023",	-,"Tlaxcala","1,608",
"2023",	30,"Veracruz de Ignacio de la Llave","14,204",
"2023",	-,"Coatzacoalcos","493",
"2023",	-,"Xalapa-Enríquez","ND",
"2023",	-,"Veracruz","2,136",
"2023",	31,"Yucatán","8,717",
"2023",	-,"Mérida","6,370",
"2023",	32,"Zacatecas","3,157",
"2023",	-,"Zacatecas","1,416",
"2022",	00,"Estados Unidos Mexicanos","397,219",
"2022",	01,"Aguascalientes","4,706",
"2022",	-,"Aguascalientes","3,527",
"2022",	02,"Baja California","13,082",
"2022",	-,"Ensenada","ND",
"2022",	-,"Mexicali","2,732",
"2022",	-,"Tijuana","6,980",
"2022",	03,"Baja California Sur","6,733",
"2022",	-,"La Paz","2,480",
"2022",	04,"Campeche","2,561",
"2022",	-,"Campeche","1,099",
"2022",	-,"Ciudad del Carmen","871",
"2022",	05,"Coahuila de Zaragoza","10,499",
"2022",	-,"Saltillo","3,783",
"2022",	-,"Torreón","3,968",
"2022",	06,"Colima","4,258",
"2022",	-,"Colima","1,846",
"2022",	07,"Chiapas","7,669",
"2022",	-,"Tapachula","901",
"2022",	-,"Tuxtla Gutiérrez","2,378",
"2022",	08,"Chihuahua","13,620",
"2022",	-,"Chihuahua","4,827",
"2022",	-,"Juárez","5,349",
"2022",	09,"Ciudad de México","52,316",
"2022",	-,"Valle de México","97,554",
"2022",	10,"Durango","4,732",
"2022",	-,"Durango","2,615",
"2022",	11,"Guanajuato","11,217",
"2022",	-,"Celaya","ND",
"2022",	-,"Irapuato","ND",
"2022",	-,"León","6,401",
"2022",	12,"Guerrero","4,162",
"2022",	-,"Acapulco","1,094",
"2022",	-,"Chilpancingo","ND",
"2022",	13,"Hidalgo","9,673",
"2022",	-,"Pachuca","1,979",
"2022",	14,"Jalisco","27,422",
"2022",	-,"Guadalajara","18,624",
"2022",	15,"México","56,281",
"2022",	-,"Toluca","3,718",
"2022",	16,"Michoacán de Ocampo","11,392",
"2022",	-,"Morelia","2,698",
"2022",	-,"Uruapan","ND",
"2022",	17,"Morelos","4,291",
"2022",	-,"Cuernavaca","2,172",
"2022",	18,"Nayarit","3,294",
"2022",	-,"Tepic","1,829",
"2022",	19,"Nuevo León","26,149",
"2022",	-,"Monterrey","23,502",
"2022",	20,"Oaxaca","7,834",
"2022",	-,"Oaxaca","2,230",
"2022",	21,"Puebla","17,722",
"2022",	-,"Puebla","13,162",
"2022",	-,"Tehuacán","ND",
"2022",	22,"Querétaro","8,138",
"2022",	-,"Querétaro","5,486",
"2022",	23,"Quintana Roo","8,415",
"2022",	-,"Cancún","4,351",
"2022",	24,"San Luis Potosí","7,250",
"2022",	-,"San Luis Potosí","5,116",
"2022",	25,"Sinaloa","11,389",
"2022",	-,"Culiacán","4,055",
"2022",	-,"Mazatlán","ND",
"2022",	26,"Sonora","11,197",
"2022",	-,"Ciudad Obregón","ND",
"2022",	-,"Hermosillo","4,746",
"2022",	27,"Tabasco","7,493",
"2022",	-,"Villahermosa","2,089",
"2022",	28,"Tamaulipas","9,909",
"2022",	-,"Heroica Matamoros","ND",
"2022",	-,"Nuevo Laredo","ND",
"2022",	-,"Reynosa","1,435",
"2022",	-,"Tampico","3,073",
"2022",	29,"Tlaxcala","2,036",
"2022",	-,"Tlaxcala","1,340",
"2022",	30,"Veracruz de Ignacio de la Llave","17,912",
"2022",	-,"Coatzacoalcos","551",
"2022",	-,"Xalapa-Enríquez","ND",
"2022",	-,"Veracruz","2,471",
"2022",	31,"Yucatán","9,457",
"2022",	-,"Mérida","6,715",
"2022",	32,"Zacatecas","4,418",
"2022",	-,"Zacatecas","1,761",
"2021",	00,"Estados Unidos Mexicanos","380,800",
"2021",	01,"Aguascalientes","3,671",
"2021",	-,"Aguascalientes","2,645",
"2021",	02,"Baja California","14,094",
"2021",	-,"Ensenada","ND",
"2021",	-,"Mexicali","3,195",
"2021",	-,"Tijuana","7,733",
"2021",	03,"Baja California Sur","6,106",
"2021",	-,"La Paz","2,122",
"2021",	04,"Campeche","3,031",
"2021",	-,"Campeche","1,341",
"2021",	-,"Ciudad del Carmen","832",
"2021",	05,"Coahuila de Zaragoza","8,805",
"2021",	-,"Saltillo","3,743",
"2021",	-,"Torreón","3,360",
"2021",	06,"Colima","4,820",
"2021",	-,"Colima","1,785",
"2021",	07,"Chiapas","7,524",
"2021",	-,"Tapachula","792",
