objetivo_clave,objetivo_desc,meta_clave,meta_codigo,meta_desc,indicador_clave,indicador_codigo,indicador_desc,clave_serie,num_registros,tiene_valores,tipo,desglose_geo
ODS0010,Fin de la pobreza,ODS00100010,Meta 1.1,"De aquí a 2030, erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1,25 dólares de los Estados Unidos al día)",ODS001000100010,1.1.1,"Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",355,48,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100010,Meta 1.1,"De aquí a 2030, erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1,25 dólares de los Estados Unidos al día)",ODS001000100020,1.1.1.a,"Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), por desglose geográfico",1080,99,True,Global,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100010,Meta 1.1,"De aquí a 2030, erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1,25 dólares de los Estados Unidos al día)",ODS001000100030,1r.1.1,"Porcentaje de la población que vive por debajo del umbral de pobreza extrema regional, desglosada por sexo, edad, condición de actividad, ubicación geográfica (urbana y rural) y etnia",1873,48,True,Regional,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200002,1.2.1(1),"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2016 - 2022)",640,36,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200004,1.2.1(2),"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2008 - 2014)<b><i> [Histórico] </i></b>",1610,36,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200005,1.2.1.a,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico (Entidad federativa)",2194,132,True,Global,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200007,1.2.1.b,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico (Municipio o demarcación territorial)",2174,7509,True,Global,Desglose por entidad federativa y municipio
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200010,1.2.2(1),"Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, de acuerdo con las definiciones nacionales (2016 - 2022)",429,36,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200015,1.2.2(2),"Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, de acuerdo con las definiciones nacionales (2008 - 2014)<b><i> [Histórico] </i></b>",1566,36,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100020,Meta 1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",ODS001000200020,1.2.2.a,"Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico  (Entidad federativa)",1539,132,True,Global,Desglose por entidad federativa
