year,value,label,unit,source
2005,33.412,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2006,32.861,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2007,32.463,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2008,33.58,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2009,33.117,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2010,32.965,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2011,32.668,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2012,32.232,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2013,31.294,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2014,31.384,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2015,30.733,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2016,30.451,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2017,29.374,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2018,28.58,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2019,27.713,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2020,28.896,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2021,26.564,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2022,24.951,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
2023,23.808,NEET mujeres (8.6.1),% jóvenes 15-24,worldbank
