year,value,label,unit,source
2005,8.623,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2006,8.698,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2007,8.859,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2008,9.51,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2009,10.903,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2010,11.121,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2011,10.683,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2012,9.877,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2013,9.466,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2014,9.303,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2015,8.795,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2016,8.581,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2017,8.081,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2018,8.297,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2019,8.883,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2020,11.302,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2021,9.447,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2022,8.616,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
2023,7.945,NEET hombres (8.6.1),% jóvenes 15-24,worldbank
